,master_id,order_channel,last_order_channel,first_order_date,last_order_date,last_order_date_online,last_order_date_offline,order_num_total_ever_online,order_num_total_ever_offline,customer_value_total_ever_offline,customer_value_total_ever_online,interested_in_categories_12
0,2730793e-3908-11ea-85d6-000d3a38a36f,Mobile,Mobile,2019-07-29,2020-06-19,2020-06-19,2019-07-29,1.0,1.0,34.99,279.99,[ERKEK]
1,24ad160c-2091-11ea-bb1d-000d3a38a36f,Mobile,Mobile,2019-07-15,2020-06-19,2020-06-19,2019-07-15,3.0,1.0,79.99,1077.0,[AKTIFSPOR]
2,7343fd9e-d631-11e9-93bc-000d3a38a36f,Mobile,Mobile,2019-08-18,2020-06-19,2020-06-19,2019-08-18,1.0,1.0,79.97,177.88,[KADIN]
3,e5c720b8-b029-11e9-9757-000d3a38a36f,Mobile,Mobile,2019-03-21,2020-06-19,2020-06-19,2019-03-21,1.0,1.0,339.96,183.96,[KADIN]
4,ccd45ae4-dfc2-11e9-957d-000d3a38a36f,Mobile,Mobile,2019-09-25,2020-06-19,2020-06-19,2019-09-25,1.0,1.0,89.99,213.29,[AKTIFSPOR]
5,da5fb914-1907-11ea-9213-000d3a38a36f,Mobile,Mobile,2019-11-25,2020-06-19,2020-06-19,2019-12-21,3.0,2.0,289.98,335.97,[ERKEK]
6,f312c92c-275a-11ea-aaaa-000d3a38a36f,Mobile,Mobile,2019-09-04,2021-03-02,2021-03-02,2019-09-04,1.0,1.0,159.99,155.68,[]
7,7d8897f4-f8a7-11e9-b138-000d3a38a36f,Mobile,Mobile,2019-10-27,2021-03-02,2021-03-02,2019-10-27,1.0,1.0,129.97,39.99,[AKTIFCOCUK]
8,81831074-d6d2-11e9-93bc-000d3a38a36f,Mobile,Mobile,2019-09-01,2021-03-02,2021-03-02,2020-01-25,1.0,2.0,445.66,261.98,[AKTIFCOCUK]
9,434b1d90-a2fe-11e9-a2fc-000d3a38a36f,Mobile,Mobile,2019-03-22,2021-03-02,2021-03-02,2019-12-03,1.0,2.0,274.97,59.99,[]
10,1618c94a-aba9-11e9-a2fc-000d3a38a36f,Mobile,Mobile,2018-03-27,2021-03-02,2021-03-02,2019-03-27,7.0,1.0,79.99,589.96,[AKTIFCOCUK]
11,b09053be-ab5c-11e9-a2fc-000d3a38a36f,Android App,Mobile,2017-05-22,2021-03-02,2021-03-02,2019-09-30,19.0,2.0,184.98,1288.64,[AKTIFSPOR]
12,b69012f4-e824-11e9-8bb8-000d3a38a36f,Mobile,Mobile,2019-10-06,2021-03-02,2021-03-02,2020-12-31,2.0,1.0,99.99,143.98,"[AKTIFCOCUK, KADIN]"
13,4ab65e58-aacb-11e9-a2fc-000d3a38a36f,Mobile,Mobile,2019-07-10,2021-03-02,2021-03-02,2021-03-02,2.0,1.0,149.99,156.98,"[AKTIFCOCUK, AKTIFSPOR]"
14,9ea865f8-a6b9-11e9-a2fc-000d3a38a36f,Mobile,Mobile,2019-03-02,2021-03-02,2021-03-02,2019-07-17,1.0,2.0,129.98,89.99,[COCUK]
15,4159cc38-5b05-11ea-82d2-000d3a38a36f,Mobile,Mobile,2020-02-25,2021-03-02,2021-03-02,2020-02-25,2.0,1.0,149.98,399.97,"[ERKEK, AKTIFSPOR]"
16,26f0f738-5bf3-11ea-aa73-000d3a38a36f,Mobile,Mobile,2020-01-06,2021-03-02,2021-03-02,2020-01-06,2.0,1.0,279.99,392.48,[ERKEK]
17,d3b8585e-acfc-11e9-a2fc-000d3a38a36f,Mobile,Mobile,2021-02-26,2021-03-02,2021-03-02,2021-02-26,1.0,1.0,302.87,109.99,"[ERKEK, KADIN, AKTIFSPOR]"
18,1d3d1a7e-9faa-11e9-a2fc-000d3a38a36f,Mobile,Mobile,2019-02-01,2021-03-02,2021-03-02,2019-02-01,1.0,1.0,249.98,188.89,[]
19,5bfa131c-ada5-11e9-a2fc-000d3a38a36f,Mobile,Mobile,2019-06-17,2020-06-20,2020-06-20,2019-10-13,2.0,1.0,119.98,198.48,[COCUK]
