,master_id,first_order_date,last_order_date,order_num_total_ever_online,order_num_total_ever_offline,customer_value_total_ever_offline,customer_value_total_ever_online,T_weekly,recency_weekly,frequency,monetary_avg,exp_sales_3_month,exp_sales_6_month,exp_average_value,clv,customer_segment
1,24ad160c-2091-11ea-bb1d-000d3a38a36f,2019-07-15,2020-06-19,3.0,1.0,79.99,1077.0,98.0,49.0,4.0,289.0,0.5539784218639381,1.1079568437278835,299.54307419316206,348.21687471661016,A
5,da5fb914-1907-11ea-9213-000d3a38a36f,2019-11-25,2020-06-19,3.0,2.0,289.98,335.97,79.0,30.0,5.0,125.0,0.6983891434861031,1.3967782869722072,129.10125467592013,189.20195717454664,B
8,81831074-d6d2-11e9-93bc-000d3a38a36f,2019-09-01,2021-03-02,1.0,2.0,445.66,261.98,91.0,78.0,3.0,236.0,0.5056273370539227,1.0112546741078459,247.86783475607479,262.9955507357367,A
9,434b1d90-a2fe-11e9-a2fc-000d3a38a36f,2019-03-22,2021-03-02,1.0,2.0,274.97,59.99,115.0,102.0,3.0,112.0,0.44241826042145116,0.8848365208429023,118.38119096278747,109.90398268459478,D
10,1618c94a-aba9-11e9-a2fc-000d3a38a36f,2018-03-27,2021-03-02,7.0,1.0,79.99,589.96,166.0,153.0,8.0,84.0,0.596489525236565,1.1929790504731221,85.87645931477516,107.49162632824826,D
11,b09053be-ab5c-11e9-a2fc-000d3a38a36f,2017-05-22,2021-03-02,19.0,2.0,184.98,1288.64,210.0,197.0,21.0,70.0,1.0486227429703396,2.0972454859407326,70.62250668816385,155.40324497270367,C
12,b69012f4-e824-11e9-8bb8-000d3a38a36f,2019-10-06,2021-03-02,2.0,1.0,99.99,143.98,86.0,73.0,3.0,81.0,0.5211390140217067,1.0422780280434116,86.00953001446564,94.05845558977693,D
13,4ab65e58-aacb-11e9-a2fc-000d3a38a36f,2019-07-10,2021-03-02,2.0,1.0,149.99,156.98,99.0,86.0,3.0,102.0,0.48264203116926957,0.9652840623385387,107.93871968913527,109.32011613610057,D
14,9ea865f8-a6b9-11e9-a2fc-000d3a38a36f,2019-03-02,2021-03-02,1.0,2.0,129.98,89.99,117.0,104.0,3.0,73.0,0.43785684322587104,0.8757136864517425,77.65555299554387,71.35137394944088,D
15,4159cc38-5b05-11ea-82d2-000d3a38a36f,2020-02-25,2021-03-02,2.0,1.0,149.98,399.97,66.0,53.0,3.0,183.0,0.5940343526275085,1.188068705255016,192.5227370057181,239.98896341029103,B
16,26f0f738-5bf3-11ea-aa73-000d3a38a36f,2020-01-06,2021-03-02,2.0,1.0,279.99,392.48,73.0,60.0,3.0,224.0,0.5663095720692602,1.132619144138521,235.33686922769215,279.66721391618904,A
19,5bfa131c-ada5-11e9-a2fc-000d3a38a36f,2019-06-17,2020-06-20,2.0,1.0,119.98,198.48,102.0,53.0,3.0,106.0,0.47455228164974095,0.9491045632994819,112.11570819859615,111.64729679167215,D
20,6de72a12-541a-11ea-b1db-000d3a38a36f,2019-12-29,2020-06-20,1.0,2.0,299.98,259.9,74.0,25.0,3.0,187.0,0.5625587505311236,1.1251175010622512,196.69972551517898,232.2037987589025,B
21,f8bc9ebc-15ed-11ea-aa74-000d3a38a36f,2019-09-02,2020-06-20,2.0,1.0,60.99,371.5,91.0,42.0,3.0,144.0,0.5056273370539227,1.0112546741078459,151.79709903847453,161.0614854525103,C
22,9e2a73ac-1e85-11ea-aa32-000d3a38a36f,2019-08-27,2020-06-20,2.0,2.0,59.98,1092.5,92.0,43.0,4.0,288.0,0.5736482956806346,1.1472965913612685,298.51025192045836,359.33758157500506,A
23,d7fa4e6e-42ab-11ea-8b43-000d3a38a36f,2019-11-16,2020-06-20,2.0,1.0,139.99,387.96,80.0,31.0,3.0,176.0,0.5410573356715277,1.0821146713430567,185.21300711416157,210.28701416643239,B
24,3e0f28ee-41a0-11ea-96d9-000d3a38a36f,2019-07-30,2020-06-20,3.0,1.0,79.98,1109.7,96.0,47.0,4.0,297.0,0.5603834331469657,1.1207668662939307,307.8056523747919,361.9591504986259,A
25,84da86f6-a83f-11e9-a2fc-000d3a38a36f,2015-11-19,2020-06-20,2.0,2.0,149.98,235.96,289.0,239.0,4.0,96.0,0.26486681344997276,0.5297336268999455,100.2083755613421,55.69667261371195,D
26,a884ad28-b101-11e9-9757-000d3a38a36f,2019-05-07,2020-06-20,3.0,1.0,39.99,403.53,108.0,59.0,4.0,111.0,0.5240308594546556,1.048061718909311,115.70070965189805,127.23030475219952,C
27,bf99e20c-b05d-11e9-9757-000d3a38a36f,2019-02-20,2020-06-20,4.0,2.0,350.39,513.96,119.0,69.0,6.0,144.0,0.6170781049477098,1.2341562098954195,147.81416656239796,191.4052642640063,B
28,b7ba79fe-212b-11ea-b50a-000d3a38a36f,2019-09-14,2021-03-03,1.0,2.0,349.97,109.99,89.0,77.0,3.0,153.0,0.511719863622801,1.023439727245601,161.1953231847615,173.09415173155992,C
