,,D,C,B,A
first_order_date,count,3807,3807,3807,3807
first_order_date,mean,2018-01-01 04:49:44.397163264,2019-02-06 17:08:50.496453888,2019-05-12 05:43:27.092198656,2019-09-22 04:06:59.858156032
first_order_date,min,2013-01-20 00:00:00,2013-01-31 00:00:00,2013-03-12 00:00:00,2013-01-14 00:00:00
first_order_date,25%,2016-08-17 00:00:00,2018-12-13 00:00:00,2019-03-02 00:00:00,2019-05-27 00:00:00
first_order_date,50%,2018-10-24 00:00:00,2019-07-04 00:00:00,2019-08-18 00:00:00,2019-11-02 00:00:00
first_order_date,75%,2019-07-16 00:00:00,2019-10-29 00:00:00,2019-12-03 00:00:00,2020-03-22 12:00:00
first_order_date,max,2021-03-13 00:00:00,2021-03-31 00:00:00,2021-05-18 00:00:00,2021-05-19 00:00:00
first_order_date,std,,,,
last_order_date,count,3807,3807,3807,3807
last_order_date,mean,2020-12-26 03:44:18.156028416,2021-01-16 07:39:11.773049600,2021-01-29 08:47:39.574468096,2021-02-18 08:42:44.539007232
last_order_date,min,2020-05-30 00:00:00,2020-05-30 00:00:00,2020-05-30 00:00:00,2020-05-30 00:00:00
last_order_date,25%,2020-09-29 00:00:00,2020-11-12 00:00:00,2020-11-26 00:00:00,2020-12-25 00:00:00
last_order_date,50%,2021-01-16 00:00:00,2021-02-08 00:00:00,2021-02-21 00:00:00,2021-03-21 00:00:00
last_order_date,75%,2021-03-27 00:00:00,2021-04-16 00:00:00,2021-04-26 00:00:00,2021-05-04 00:00:00
last_order_date,max,2021-05-30 00:00:00,2021-05-30 00:00:00,2021-05-30 00:00:00,2021-05-30 00:00:00
last_order_date,std,,,,
order_num_total_ever_online,count,3807.0,3807.0,3807.0,3807.0
order_num_total_ever_online,mean,2.738902022589966,3.1520882584712373,3.720777515103756,5.219595482006829
order_num_total_ever_online,min,1.0,1.0,1.0,1.0
order_num_total_ever_online,25%,1.0,1.0,2.0,2.0
order_num_total_ever_online,50%,2.0,2.0,3.0,3.0
order_num_total_ever_online,75%,3.0,4.0,4.0,6.0
order_num_total_ever_online,max,22.0,30.0,30.0,30.0
order_num_total_ever_online,std,2.2072391175237605,3.0069520472371867,3.7863386125587137,5.347278153542333
order_num_total_ever_offline,count,3807.0,3807.0,3807.0,3807.0
order_num_total_ever_offline,mean,1.9797741003414762,2.084581034935645,2.263987391646966,2.2584712371946414
order_num_total_ever_offline,min,1.0,1.0,1.0,1.0
order_num_total_ever_offline,25%,1.0,1.0,1.0,1.0
order_num_total_ever_offline,50%,2.0,2.0,2.0,2.0
order_num_total_ever_offline,75%,2.0,3.0,3.0,3.0
order_num_total_ever_offline,max,10.0,10.0,10.0,10.0
order_num_total_ever_offline,std,1.1359785859776879,1.2864511739270346,1.522962502794203,1.7427625509929865
customer_value_total_ever_offline,count,3807.0,3807.0,3807.0,3807.0
customer_value_total_ever_offline,mean,182.37068820593643,234.93719726819015,307.91334384029415,406.0110533228264
customer_value_total_ever_offline,min,12.99,10.0,12.99,10.49
customer_value_total_ever_offline,25%,89.99,109.99,135.975,149.985
customer_value_total_ever_offline,50%,149.98,199.98,259.96,298.44
customer_value_total_ever_offline,75%,237.95999999999998,314.445,420.43,540.465
customer_value_total_ever_offline,max,1021.27,1820.0,1820.0,1820.0
customer_value_total_ever_offline,std,133.6547186880703,169.43409390699935,230.86750715790777,361.8209547297882
customer_value_total_ever_online,count,3807.0,3807.0,3807.0,3807.0
customer_value_total_ever_online,mean,267.4935172051484,400.38635671132124,573.4084370895719,1087.4573627528237
customer_value_total_ever_online,min,14.99,19.99,14.99,39.99
customer_value_total_ever_online,25%,111.94,180.125,274.97,468.995
customer_value_total_ever_online,50%,191.84,299.98,449.25,821.41
customer_value_total_ever_online,75%,340.19,467.95,691.25,1345.65
customer_value_total_ever_online,max,1827.91,2883.99,4165.04,4696.0
customer_value_total_ever_online,std,228.41527060167616,352.4478754541304,477.423915931385,938.1082288997119
T_weekly,count,3807.0,3807.0,3807.0,3807.0
T_weekly,mean,178.10454426057262,120.72970843183609,107.22169687417914,88.21880745994221
T_weekly,min,11.0,9.0,2.0,2.0
T_weekly,25%,98.0,83.0,78.0,62.0
T_weekly,50%,136.0,100.0,93.0,82.0
T_weekly,75%,250.0,128.5,117.0,105.0
T_weekly,max,436.0,435.0,429.0,437.0
T_weekly,std,98.07612622235368,64.47715843251282,55.570340705417514,50.49069968778538
recency_weekly,count,3807.0,3807.0,3807.0,3807.0
recency_weekly,mean,155.70580509587603,101.36931967428421,89.73180982400841,73.60152350932493
recency_weekly,min,1.0,0.0,0.0,0.0
recency_weekly,25%,78.0,63.0,57.0,44.0
recency_weekly,50%,115.0,84.0,78.0,68.0
