,master_id,first_order_date,last_order_date,order_num_total_ever_online,order_num_total_ever_offline,customer_value_total_ever_offline,customer_value_total_ever_online,T_weekly,recency_weekly,frequency,monetary_avg,exp_sales_3_month,exp_sales_6_month,exp_average_value,clv,customer_segment
1,24ad160c-2091-11ea-bb1d-000d3a38a36f,2019-07-15,2020-06-19,3.0,1.0,79.99,1077.0,98.0,49.0,4.0,289.0,0.5539784218639381,1.1079568437278835,299.54307419316206,348.21687471661016,A
8,81831074-d6d2-11e9-93bc-000d3a38a36f,2019-09-01,2021-03-02,1.0,2.0,445.66,261.98,91.0,78.0,3.0,236.0,0.5056273370539227,1.0112546741078459,247.86783475607479,262.9955507357367,A
16,26f0f738-5bf3-11ea-aa73-000d3a38a36f,2020-01-06,2021-03-02,2.0,1.0,279.99,392.48,73.0,60.0,3.0,224.0,0.5663095720692602,1.132619144138521,235.33686922769215,279.66721391618904,A
22,9e2a73ac-1e85-11ea-aa32-000d3a38a36f,2019-08-27,2020-06-20,2.0,2.0,59.98,1092.5,92.0,43.0,4.0,288.0,0.5736482956806346,1.1472965913612685,298.51025192045836,359.33758157500506,A
24,3e0f28ee-41a0-11ea-96d9-000d3a38a36f,2019-07-30,2020-06-20,3.0,1.0,79.98,1109.7,96.0,47.0,4.0,297.0,0.5603834331469657,1.1207668662939307,307.8056523747919,361.9591504986259,A
36,0bfe064e-f047-11ea-bde9-000d3a38a36f,2020-09-06,2021-03-03,6.0,1.0,79.98,709.01,38.0,25.0,7.0,113.0,1.156144135891181,2.3122882717823607,115.68584995573664,280.66606414063597,A
52,eaa03c3a-3a23-11ea-85d6-000d3a38a36f,2019-11-13,2021-03-05,8.0,3.0,230.46,1161.56,81.0,68.0,11.0,127.0,1.1452936018765,2.290587203753018,128.8614353001222,309.697344059883,A
53,4b6a0fb2-2414-11ea-a30f-000d3a38a36f,2019-08-17,2021-03-05,2.0,1.0,89.99,799.8,93.0,81.0,3.0,297.0,0.49967817854921565,0.9993563570984308,311.5669095253532,326.69267145362534,A
55,e0d14e8c-1198-11ea-846f-000d3a38a36f,2019-11-09,2020-06-23,2.0,1.0,219.9,989.74,81.0,32.0,3.0,403.0,0.5376325495259433,1.0752650990518893,422.25710502606654,476.38732938152623,A
66,e17c3cb8-aaa8-11e9-a2fc-000d3a38a36f,2019-08-03,2020-06-24,3.0,2.0,219.96,1011.91,95.0,47.0,5.0,246.0,0.6334162176595723,1.2668324353191447,253.25773013398782,336.6274836958678,A
77,60b9059e-3df0-11ea-9e19-000d3a38a36f,2019-09-08,2021-03-07,1.0,2.0,390.72,439.92,90.0,78.0,3.0,277.0,0.508655357362922,1.0173107147258427,290.68196697804876,310.26972110447076,A
79,c3705d4a-d6b7-11e9-93bc-000d3a38a36f,2019-08-31,2021-03-07,3.0,2.0,595.89,1224.79,91.0,79.0,5.0,364.0,0.6484990995626824,1.296998199125363,374.3359458699546,509.41132050400904,A
84,e7a1d4fc-aee2-11e9-a2fc-000d3a38a36f,2017-09-14,2021-03-08,9.0,8.0,1028.33,1231.21,194.0,182.0,17.0,133.0,0.9334049687430708,1.8668099374861522,134.2447113692663,262.9450356781456,A
99,415e400e-76a5-11ea-b23f-000d3a38a36f,2020-04-23,2021-03-09,10.0,2.0,322.38,1004.9,58.0,46.0,12.0,111.0,1.4293427568266495,2.8586855136532914,112.53335117045452,337.53228485864696,A
111,ba86c08e-ac3c-11e9-a2fc-000d3a38a36f,2019-10-18,2021-03-10,1.0,3.0,781.45,275.97,85.0,73.0,4.0,264.0,0.5984381983458633,1.1968763966917246,273.7225173755688,343.7379750611659,A
118,1fb00cfa-c5e0-11ea-9189-000d3a38a36f,2020-07-14,2021-03-11,2.0,1.0,319.99,255.71,46.0,34.0,3.0,192.0,0.6906388060826131,1.3812776121652257,201.9209611520051,292.6375579310719,A
123,c2b11228-a9f8-11e9-a2fc-000d3a38a36f,2020-02-10,2021-03-11,3.0,1.0,237.49,1089.97,68.0,56.0,4.0,332.0,0.6686082373912698,1.3372164747825384,343.9544319194225,482.58110626848946,A
130,aa252d7c-ae83-11e9-a2fc-000d3a38a36f,2019-09-14,2021-03-12,5.0,4.0,400.94,1019.66,89.0,78.0,9.0,158.0,0.9454997256008807,1.890999451201756,160.72513339103557,318.8914564187936,A
153,c4f21ca6-b0cb-11e9-9757-000d3a38a36f,2020-09-06,2021-03-14,1.0,2.0,260.97,454.97,38.0,27.0,3.0,239.0,0.7386904278368477,1.477380855673694,251.00057613817046,389.0763846306443,A
154,f5cac65a-22f6-11ea-8523-000d3a38a36f,2019-03-25,2020-07-02,5.0,3.0,576.94,1261.9,114.0,66.0,8.0,230.0,0.7588991969067902,1.5177983938135773,234.23379860561786,373.01932915637246,A
159,af46deda-a489-11e9-a2fc-000d3a38a36f,2019-05-07,2021-03-15,5.0,2.0,214.97,1345.85,108.0,97.0,7.0,223.0,0.7186435382494079,1.4372870764988157,227.7203456235609,343.41008197653923,A
167,a8e3b248-b0c8-11e9-9757-000d3a38a36f,2019-11-29,2021-03-15,6.0,1.0,204.99,1367.78,79.0,67.0,7.0,225.0,0.8522522528013339,1.704504505602669,229.757336453885,410.8991357024945,A
172,67b2dba8-5b4c-11ea-b23a-000d3a38a36f,2019-12-14,2021-03-16,3.0,1.0,139.99,679.05,76.0,65.0,4.0,205.0,0.6336444010466409,1.2672888020932804,212.78600328604873,282.934782839731,A
178,c7e1c2b8-5427-11ea-b1db-000d3a38a36f,2020-01-04,2021-03-17,1.0,4.0,636.93,391.7,73.0,63.0,5.0,206.0,0.7263279111854601,1.4526558223709212,212.21426717264313,323.4483899239896,A
179,6838f252-d711-11e9-93bc-000d3a38a36f,2019-09-13,2021-03-17,1.0,2.0,349.98,359.98,90.0,79.0,3.0,237.0,0.508655357362922,1.0173107147258427,248.91208188344,265.6851507797188,A
181,68392f16-ae57-11e9-a2fc-000d3a38a36f,2019-04-23,2021-03-17,8.0,5.0,739.95,1100.92,110.0,99.0,13.0,142.0,1.0960189412738532,2.192037882547704,143.72035438130783,330.54760973897385,A
184,c7ba1696-b16b-11e9-89fa-000d3a38a36f,2019-06-11,2020-07-05,7.0,1.0,139.99,1289.09,103.0,56.0,8.0,179.0,0.8052807997392183,1.6105615994784366,182.41034446977557,308.2438992582728,A
187,bae9e420-5b50-11ea-82aa-000d3a38a36f,2019-12-21,2021-03-18,1.0,7.0,901.81,131.99,75.0,65.0,8.0,129.0,0.9536387787355897,1.9072775574711778,131.60303649345957,263.35859390592816,A
189,9a374fe6-1e4d-11ea-8bf2-000d3a38a36f,2019-08-27,2021-03-18,1.0,2.0,539.8,263.92,92.0,81.0,3.0,268.0,0.502635154950314,1.0052703099006284,281.2837428317618,296.68471660863474,A
197,2f321f3a-6b98-11ea-9c62-000d3a38a36f,2020-03-20,2021-03-18,2.0,1.0,246.48,1069.36,63.0,52.0,3.0,439.0,0.6067652234393586,1.2135304468787185,459.85000161121445,585.5103220290351,A
203,edd65f1c-af16-11e9-a2fc-000d3a38a36f,2019-11-10,2021-03-19,7.0,1.0,90.49,1415.53,81.0,71.0,8.0,188.0,0.9174207072450424,1.8348414144900973,191.55565990551244,368.774776992085,A
204,3bfb9a2e-26f7-11ea-aaaa-000d3a38a36f,2019-04-07,2020-07-07,2.0,4.0,810.85,799.96,112.0,65.0,6.0,268.0,0.6399349285729443,1.2798698571458886,274.498110064062,368.6148743372559,A
206,529fc4f6-7adb-11eb-8460-000d3a38a36f,2021-03-01,2021-03-20,2.0,1.0,149.97,1099.8,13.0,3.0,3.0,417.0,0.9439214146342153,1.8878428292684315,436.8765648091796,865.3509397136608,A
208,80e167dc-a74e-11e9-a2fc-000d3a38a36f,2020-03-07,2021-03-20,5.0,1.0,150.72,743.51,64.0,54.0,6.0,149.0,0.8578116809139255,1.7156233618278653,152.92239009069087,275.2711612339922,A
216,6866217e-6071-11eb-9b71-000d3a38a36f,2021-01-27,2021-03-20,2.0,1.0,175.96,319.98,18.0,7.0,3.0,165.0,0.894232348576616,1.7884646971532308,173.72628871314416,325.9969975862467,A
223,cdb68642-1a48-11ea-941b-000d3a38a36f,2019-11-27,2021-03-21,5.0,1.0,219.98,1142.87,79.0,69.0,6.0,227.0,0.7753206981437183,1.5506413962874388,232.6106771320602,378.4501708803497,A
231,cc389fe4-3fc8-11ea-aa6b-000d3a38a36f,2019-08-03,2021-03-21,3.0,1.0,215.97,783.9,95.0,85.0,4.0,250.0,0.5636418020284011,1.1272836040568022,259.26300555771655,306.6489119594645,A
232,2d4a0f5a-5be1-11ea-8f60-000d3a38a36f,2020-01-20,2021-03-21,2.0,1.0,80.49,779.84,71.0,61.0,3.0,287.0,0.5739632931427916,1.1479265862855832,301.124438251701,362.6835044966013,A
243,d11cf674-9f94-11e9-a2fc-000d3a38a36f,2019-09-30,2021-03-22,4.0,2.0,289.97,1148.85,87.0,77.0,6.0,240.0,0.7374962114117146,1.4749924228234415,245.89205830562176,380.54145815990887,A
245,4c83d7b2-5b95-11ea-94f4-000d3a38a36f,2020-01-04,2021-03-22,1.0,2.0,504.7,174.89,73.0,63.0,3.0,227.0,0.5663095720692602,1.132619144138521,238.4696106097878,283.3900689755167,A
249,5955d406-61aa-11eb-add3-000d3a38a36f,2021-01-29,2021-03-23,2.0,1.0,199.99,469.98,18.0,8.0,3.0,223.0,0.894232348576616,1.7884646971532308,234.29262210032692,439.6495885975654,A
251,ea56ef18-b1a1-11e9-89fa-000d3a38a36f,2019-07-14,2021-03-23,5.0,3.0,321.94,1768.18,98.0,88.0,8.0,261.0,0.8282910829811968,1.656582165962417,265.73432955093375,461.8791218037985,A
252,e6ae66a6-851d-11eb-bceb-000d3a38a36f,2021-03-14,2021-03-23,2.0,1.0,150.88,382.32,11.0,1.0,3.0,178.0,0.9653783657099358,1.9307567314198717,187.30150136889202,379.4342257410555,A
264,af475cb6-dcbe-11ea-9c1f-000d3a38a36f,2020-08-12,2021-03-24,2.0,2.0,300.95,408.81,42.0,32.0,4.0,177.0,0.8147118158083567,1.6294236316167208,183.86697965034426,314.344190914679,A
269,9f9b5814-1dc7-11ea-8bf2-000d3a38a36f,2019-11-29,2020-07-12,6.0,1.0,149.99,1019.94,79.0,32.0,7.0,167.0,0.8522522528013339,1.704504505602669,170.68460237448673,305.25317134966554,A
274,17733de0-b197-11e9-89fa-000d3a38a36f,2019-07-10,2021-03-25,8.0,1.0,250.73,1539.31,99.0,89.0,9.0,199.0,0.8917729024690968,1.7835458049381918,202.31251742751076,378.59485508925854,A
278,388c4f4a-ab4c-11e9-a2fc-000d3a38a36f,2017-01-29,2021-03-25,21.0,1.0,109.99,3585.18,226.0,217.0,22.0,168.0,1.0328529905460215,2.065705981092048,169.1635849871068,366.64272632923,A
283,6bf3c54c-5b9c-11ea-a21d-000d3a38a36f,2020-02-20,2020-07-13,9.0,1.0,339.98,2249.82,67.0,21.0,10.0,259.0,1.1733116024483503,2.3466232048967006,262.7495217103683,646.9235802740435,A
287,03a24776-6113-11ea-8dd8-000d3a38a36f,2020-02-20,2020-07-14,5.0,1.0,99.99,998.86,67.0,21.0,6.0,183.0,0.8399384704956903,1.6798769409913838,187.65831008308263,330.7599793392141,A
290,e9bb434a-7b01-11ea-8f20-000d3a38a36f,2020-04-10,2021-03-27,3.0,2.0,351.93,472.88,60.0,50.0,5.0,165.0,0.7952581872614525,1.5905163745229067,170.14471763726482,283.93851150824764,A
292,ff005bca-1f65-11ea-87bf-000d3a38a36f,2019-08-15,2021-03-27,3.0,2.0,269.97,810.49,94.0,84.0,5.0,216.0,0.6371207784933953,1.274241556986788,222.4751329129793,297.4410639439482,A
302,9fbb50c2-40ec-11ea-8359-000d3a38a36f,2019-10-04,2021-03-28,5.0,1.0,162.98,1114.81,87.0,77.0,6.0,213.0,0.7374962114117146,1.4749924228234415,218.30765125284006,337.85195222517393,A
304,e973372e-a349-11ea-9c18-000d3a38a36f,2020-05-31,2021-03-28,3.0,1.0,449.98,641.93,52.0,43.0,4.0,273.0,0.7515474436090376,1.5030948872180745,283.0179178299024,446.342267504635,A
308,a7ab666a-ae60-11e9-a2fc-000d3a38a36f,2019-07-10,2021-03-29,2.0,1.0,356.95,698.94,99.0,90.0,3.0,352.0,0.48264203116926957,0.9652840623385387,369.0005015304403,373.72295870994554,A
312,1186d40e-acd9-11e9-a2fc-000d3a38a36f,2019-10-14,2021-03-29,1.0,4.0,690.45,279.98,85.0,76.0,5.0,194.0,0.6725201337713145,1.345040267542629,199.90122828423972,282.1099703584669,A
317,bde4d888-1965-11ea-b6a2-000d3a38a36f,2019-08-04,2020-07-17,2.0,2.0,299.98,597.87,95.0,50.0,4.0,224.0,0.5636418020284011,1.1272836040568022,232.4096264674196,274.88749863032126,A
323,f48f2198-b214-11ea-b736-000d3a38a36f,2020-06-19,2020-07-18,4.0,2.0,300.47,499.82,50.0,4.0,6.0,133.0,0.9523864003010488,1.9047728006020899,136.57607480015358,272.9515055511807,A
324,d1ac34a4-b06c-11e9-9757-000d3a38a36f,2018-10-25,2020-07-18,6.0,1.0,139.99,1655.88,136.0,90.0,7.0,257.0,0.6241663400152737,1.2483326800305434,262.3491897390702,343.6194620403923,A
329,3acebbc6-2b8a-11ea-853d-000d3a38a36f,2019-11-30,2021-03-31,1.0,2.0,739.8,49.99,78.0,70.0,3.0,263.0,0.5480394950347713,1.0960789900695431,276.0625071949357,317.48043552200704,A
331,5065d274-52f1-11ea-9ade-000d3a38a36f,2020-01-10,2021-03-31,4.0,1.0,139.99,792.75,73.0,64.0,5.0,187.0,0.7263279111854601,1.4526558223709212,192.7186222660044,293.73391766161274,A
342,b27e241a-a901-11e9-a2fc-000d3a38a36f,2015-09-12,2021-04-01,30.0,3.0,292.93,4696.0,298.0,290.0,33.0,151.0,1.1865522623255993,2.3731045246511915,151.7084858450725,377.74126250821155,A
344,49d1a488-53c8-11ea-abe0-000d3a38a36f,2020-02-01,2021-04-01,6.0,2.0,199.98,889.84,69.0,61.0,8.0,136.0,0.9928340285714494,1.985668057142874,138.7160596101438,289.0021538830352,A
348,0a64d6de-2534-11ea-bf27-000d3a38a36f,2019-10-18,2021-04-02,1.0,3.0,595.37,359.99,85.0,76.0,4.0,239.0,0.5984381983458633,1.1968763966917246,247.90196055797557,311.31278037667676,A
354,a24cd450-2495-11ea-bf27-000d3a38a36f,2019-10-08,2021-04-02,7.0,1.0,39.99,1802.25,86.0,77.0,8.0,230.0,0.8892759994504509,1.7785519989009002,234.23379860561786,437.1030277827692,A
370,e4f212a8-aedc-11ea-b736-000d3a38a36f,2020-06-16,2021-04-03,4.0,1.0,199.99,994.98,50.0,42.0,5.0,239.0,0.8578854195000076,1.7157708390000082,246.0751241157525,442.9907740650823,A
377,81881b4c-8f26-11eb-8cb8-000d3a38a36f,2021-03-27,2021-04-03,2.0,1.0,90.88,530.31,9.0,1.0,3.0,207.0,0.9878335140445298,1.9756670280890596,217.5846680624834,451.034464143945,A
386,abc23a20-b140-11e9-9757-000d3a38a36f,2019-03-26,2021-04-04,14.0,2.0,159.98,2187.58,114.0,106.0,16.0,147.0,1.2615622401306412,2.5231244802612824,148.43524682040572,392.955527891603,A
392,36863d7a-2646-11eb-8a9b-000d3a38a36f,2020-11-13,2021-04-05,2.0,1.0,339.99,1019.96,29.0,20.0,3.0,453.0,0.8014195997675472,1.6028391995350917,474.46946139432754,797.9320442741691,A
399,58158df0-a4b6-11e9-a2fc-000d3a38a36f,2019-05-11,2021-04-06,6.0,4.0,509.89,1291.05,107.0,99.0,10.0,180.0,0.9182200298143028,1.8364400596286097,182.7323690501279,352.09505755508076,A
408,278d008c-1369-11eb-8ffc-000d3a38a36f,2020-10-12,2021-04-06,2.0,1.0,249.98,601.97,33.0,25.0,3.0,284.0,0.7722725137202814,1.5445450274405632,297.99169686960533,482.9169212072223,A
413,89bd1894-2429-11ea-a30f-000d3a38a36f,2019-11-17,2021-04-06,1.0,2.0,220.47,521.9,80.0,72.0,3.0,247.0,0.5410573356715277,1.0821146713430567,259.3545531570922,294.46579073281555,A
450,cc76ba32-191a-11eb-8d74-000d3a38a36f,2020-10-28,2021-04-09,2.0,3.0,1019.97,187.31,31.0,23.0,5.0,241.0,1.0088337335330877,2.0176674670661887,248.1272972638197,525.2811579955722,A
451,5315f178-2273-11eb-99f8-000d3a38a36f,2020-11-09,2021-04-09,5.0,1.0,178.98,966.9,29.0,22.0,6.0,191.0,1.1410973297979259,2.2821946595958496,195.83146772835127,468.92442008427645,A
454,aeabf2ce-568d-11ea-b9b9-000d3a38a36f,2019-12-09,2021-04-09,1.0,2.0,373.44,415.2,77.0,70.0,3.0,263.0,0.5515985903546948,1.1031971807093888,276.0625071949357,319.5422269484828,A
466,7ec8af72-1319-11eb-8ffc-000d3a38a36f,2020-07-14,2021-04-11,2.0,2.0,288.95,405.84,46.0,39.0,4.0,174.0,0.7882134190939394,1.576426838187878,180.76851283223309,298.9952517212233,A
476,0fdf4ad8-9e46-11e9-9897-000d3a38a36f,2020-08-22,2021-04-11,3.0,2.0,332.45,360.41,40.0,33.0,5.0,139.0,0.93121973472754,1.8624394694550792,143.46646671239077,280.34980332021547,A
485,48bb5e4e-b162-11e9-89fa-000d3a38a36f,2019-05-31,2021-04-12,10.0,1.0,49.99,1666.12,105.0,97.0,11.0,156.0,0.9942516073678985,1.9885032147357948,158.20047950237475,330.0667517702817,A
491,48890706-ac11-11e9-a2fc-000d3a38a36f,2018-06-28,2021-04-12,5.0,4.0,495.95,1234.85,153.0,146.0,9.0,192.0,0.6823844836891697,1.3647689673783447,195.21223234811254,279.53349399797986,A
497,d8a9ed94-2a8a-11ea-b3a7-000d3a38a36f,2019-11-12,2021-04-13,1.0,5.0,1014.89,223.99,81.0,74.0,6.0,206.0,0.765505444157403,1.5310108883148104,211.15613831323,339.19518336164856,A
499,e8d8bdee-af97-11e9-a2fc-000d3a38a36f,2018-08-05,2021-04-13,5.0,2.0,470.48,1076.79,147.0,140.0,7.0,221.0,0.5935129618862991,1.1870259237725969,225.68335479323682,281.0783652734804,A
512,1f448fe8-9d4e-11eb-9c47-000d3a38a36f,2019-09-15,2021-04-14,3.0,5.0,696.94,519.97,89.0,82.0,8.0,152.0,0.873203081937866,1.746406163875729,154.9743981625649,283.97028695957795,A
